ts,seq,cmd_type,relay_rtt_ms,authority
0.0,1,speedl_stop,20,operator
0.018,2,speedl_stop,20,operator
0.039,3,speedl_stop,20,operator
0.059,4,speedl_stop,20,operator
0.079,5,speedl_stop,20,operator
0.099,6,speedl_stop,20,operator
0.119,7,speedl_stop,20,operator
0.139,8,speedl_stop,20,operator
0.16,9,speedl_stop,20,operator
0.179,10,speedl_stop,20,operator
0.199,11,speedl_stop,20,operator
0.219,12,speedl_stop,20,operator
0.239,13,speedl_stop,103,operator
0.259,14,speedl_stop,103,operator
0.279,15,speedl_stop,103,operator
0.299,16,speedl_stop,103,operator
0.319,17,speedl_stop,103,operator
0.339,18,speedl_stop,103,operator
0.359,19,speedl_stop,103,operator
0.379,20,speedl_stop,103,operator
0.399,21,speedl,103,operator
0.419,22,speedl,103,operator
0.439,23,speedl,103,operator
0.459,24,speedl,103,operator
0.48,25,speedl,103,operator
0.501,26,speedl,103,operator
0.519,27,speedl,103,operator
0.539,28,speedl,103,operator
0.56,29,speedl,103,operator
0.579,30,speedl,196,operator
0.599,31,speedl,196,operator
0.621,32,speedl,196,operator
0.639,33,speedl,196,operator
0.659,34,speedl,196,operator
0.679,35,speedl,32,operator
0.699,36,speedl,32,operator
0.72,37,speedl,32,operator
0.739,38,speedl,32,operator
0.76,39,speedl,32,operator
0.78,40,speedl,32,operator
0.799,41,speedl,32,operator
0.819,42,speedl,32,operator
0.839,43,speedl,32,operator
0.86,44,speedl,32,operator
0.879,45,speedl,32,operator
0.899,46,speedl,32,operator
0.921,47,speedl,32,operator
0.94,48,speedl,32,operator
0.959,49,speedl,67,operator
0.98,50,speedl,67,operator
0.999,51,speedl,67,operator
1.019,52,speedl,67,operator
1.039,53,speedl,67,operator
1.059,54,speedl,67,operator
1.079,55,speedl,67,operator
1.099,56,speedl,67,operator
1.119,57,speedl,67,operator
1.139,58,speedl,67,operator
1.159,59,speedl,67,operator
1.18,60,speedl,45,operator
1.199,61,speedl,45,operator
1.219,62,speedl,45,operator
1.239,63,speedl,45,operator
1.26,64,speedl,45,operator
1.279,65,speedl,45,operator
1.299,66,speedl,45,operator
1.321,67,speedl,45,operator
1.339,68,speedl,45,operator
1.359,69,speedl,45,operator
1.38,70,speedl,45,operator
1.399,71,speedl,45,operator
1.421,72,speedl,45,operator
1.439,73,speedl,48,operator
1.46,74,speedl,48,operator
1.479,75,speedl,48,operator
1.499,76,speedl,48,operator
1.518,77,speedl,48,operator
1.539,78,speedl,48,operator
1.559,79,speedl,48,operator
1.579,80,speedl,48,operator
1.599,81,speedl,48,operator
1.621,82,speedl,48,operator
1.639,83,speedl,48,operator
1.659,84,speedl,48,operator
1.679,85,speedl,48,operator
1.699,86,speedl,48,operator
1.719,87,speedl,48,operator
1.739,88,speedl,48,operator
1.759,89,speedl,183,operator
1.779,90,speedl,183,operator
1.799,91,speedl,183,operator
1.819,92,speedl,183,operator
1.839,93,speedl,183,operator
1.859,94,speedl,183,operator
1.879,95,speedl,183,operator
1.899,96,speedl,183,operator
1.92,97,speedl,183,operator
1.939,98,speedl,47,operator
1.959,99,speedl,47,operator
1.979,100,speedl,47,operator
1.999,101,speedl,47,operator
2.019,102,speedl,47,operator
2.039,103,speedl,47,operator
2.059,104,speedl,47,operator
2.08,105,speedl,47,operator
2.099,106,speedl,47,operator
2.12,107,speedl,47,operator
2.14,108,speedl,47,operator
2.159,109,speedl,47,operator
2.18,110,speedl,34,operator
2.2,111,speedl,34,operator
2.22,112,speedl,34,operator
2.239,113,speedl,34,operator
2.259,114,speedl,34,operator
2.28,115,speedl,34,operator
2.298,116,speedl,34,operator
2.319,117,speedl,34,operator
2.339,118,speedl,34,operator
2.359,119,speedl,34,operator
2.379,120,speedl,34,operator
2.399,121,speedl,19,operator
2.419,122,speedl,19,operator
2.44,123,speedl,19,operator
2.46,124,speedl,19,operator
2.479,125,speedl,19,operator
2.499,126,speedl,19,operator
2.519,127,speedl,19,operator
2.539,128,speedl,19,operator
2.559,129,speedl,19,operator
2.58,130,speedl,19,operator
2.599,131,speedl,19,operator
2.62,132,speedl,19,operator
2.639,133,speedl,19,operator
2.659,134,speedl,19,operator
2.679,135,speedl,34,operator
2.699,136,speedl,34,operator
2.72,137,speedl,34,operator
2.739,138,speedl,34,operator
2.759,139,speedl,34,operator
2.779,140,speedl,34,operator
2.799,141,speedl,34,operator
2.82,142,speedl,34,operator
2.839,143,speedl,34,operator
2.859,144,speedl,34,operator
2.879,145,speedl,34,operator
2.899,146,speedl,34,operator
2.92,147,speedl,34,operator
2.939,148,speedl,47,operator
2.959,149,speedl,47,operator
2.98,150,speedl,47,operator
3.0,151,speedl,47,operator
3.02,152,speedl,47,operator
3.039,153,speedl,47,operator
3.059,154,speedl,47,operator
3.079,155,speedl,47,operator
3.099,156,speedl,47,operator
3.121,157,speedl,47,operator
3.139,158,speedl,47,operator
3.159,159,speedl,47,operator
3.179,160,speedl,38,operator
3.199,161,speedl,38,operator
3.221,162,speedl,38,operator
3.238,163,speedl,38,operator
3.26,164,speedl,38,operator
3.279,165,speedl,38,operator
3.299,166,speedl,38,operator
3.321,167,speedl,38,operator
3.339,168,speedl,38,operator
3.36,169,speedl,38,operator
3.379,170,speedl,38,operator
3.399,171,speedl,38,operator
3.422,172,speedl,33,operator
3.439,173,speedl,33,operator
3.459,174,speedl,33,operator
3.479,175,speedl,33,operator
3.499,176,speedl,33,operator
3.522,177,speedl,33,operator
3.539,178,speedl,33,operator
3.559,179,speedl,33,operator
3.579,180,speedl,33,operator
3.599,181,speedl,33,operator
3.62,182,speedl,33,operator
3.639,183,speedl,33,operator
3.659,184,speedl,33,operator
3.679,185,speedl,36,operator
3.699,186,speedl,36,operator
3.72,187,speedl,36,operator
3.739,188,speedl,36,operator
3.759,189,speedl,36,operator
3.779,190,speedl,36,operator
3.801,191,speedl,36,operator
3.819,192,speedl,36,operator
3.839,193,speedl,36,operator
3.859,194,speedl,36,operator
3.879,195,speedl,36,operator
3.899,196,speedl,36,operator
3.919,197,speedl,40,operator
3.939,198,speedl,40,operator
3.959,199,speedl,40,operator
3.979,200,speedl,40,operator
4.0,201,speedl,40,operator
4.02,202,speedl,40,operator
4.039,203,speedl,40,operator
4.058,204,speedl,40,operator
4.079,205,speedl,40,operator
4.099,206,speedl,40,operator
4.119,207,speedl,40,operator
4.139,208,speedl,40,operator
4.16,209,speedl,40,operator
4.179,210,speedl,52,operator
4.199,211,speedl,52,operator
4.22,212,speedl,52,operator
4.239,213,speedl,52,operator
4.259,214,speedl,52,operator
4.279,215,speedl,52,operator
