ts,rtt_ms,jitter_ms,ack_latency_ms,kind,authority,vcap,lost,event
0.0,80.0,,,pong,observer,1,0,
0.207,36.0,22,,pong,observer,0.85,0,
0.488,66.0,18.354533197248273,,pong,observer,1,0,
0.762,88.0,19.817921182606415,,pong,observer,0.92,0,
0.962,37.0,21.518364250100422,,pong,requesting,0.81,0,
1.189,16.0,25.92564153283172,,pong,requesting,1,0,
1.441,16.0,27.41145299144211,,pong,requesting,1,0,
1.753,79.0,27.562429138230904,,pong,requesting,1,0,
1.958,34.0,26.61151704631235,,pong,requesting,0.855,0,
2.207,31.0,25.89613870830939,,pong,requesting,1,0,
2.528,107.0,29.906742101748495,,pong,requesting,1,0,
2.756,81.0,29.61547549658605,,pong,requesting,0.7150000000000001,0,
2.957,33.0,29.101536184263946,,pong,requesting,0.845,0,
3.255,84.0,29.077307232932824,,pong,requesting,1,0,
3.464,38.0,28.459249619216752,,pong,requesting,0.83,0,
3.709,29.0,28.268729963512687,,pong,requesting,1,0,
3.963,36.0,27.72991339484877,,pong,requesting,1,0,
4.199,19.0,28.014326141026526,,pong,requesting,1,0,
4.46,32.0,27.580152645418742,,pong,requesting,1,0,
4.716,38.0,27,,pong,requesting,1,0,
5.009,82.0,27.118075152930746,,pong,requesting,1,0,
5.219,42.0,27.004444078706744,,pong,requesting,0.84,0,
5.508,80.0,27.600543472910097,,pong,requesting,1,0,
5.712,33.0,26.40127837813919,,pong,requesting,0.85,0,
6.004,85.0,27.509770991413216,,pong,requesting,1,0,
6.218,40.0,26.516928555170185,,pong,requesting,0.825,0,
6.445,17.0,26.451843035977664,,pong,requesting,1,0,
6.71,30.0,26.010526715159,,pong,requesting,1,0,
6.946,15.0,26.857773548825673,,pong,requesting,1,0,
7.259,89.0,28.015174459567444,,pong,requesting,1,0,
7.458,35.0,24.985795964907744,,pong,requesting,0.8049999999999999,0,
7.756,83.0,25.12568407028951,,pong,requesting,1,0,
7.947,24.0,25.450884071088772,,pong,requesting,0.835,0,
8.221,48.0,23.968468870580782,,pong,requesting,1,0,
8.438,18.0,24.63711630852929,,pong,requesting,1,0,
8.712,42.0,24.40983408382777,,pong,requesting,1,0,
8.961,41.0,24.348049203170262,,pong,requesting,1,0,
9.481,310.0,62.19935690985881,,pong,requesting,1,0,
9.481,59.0,61.886569625404185,,pong,requesting,0,0,
